S.No.,States,Water Conservation and Water Harvesting
1,Andaman And Nicobar,137
2,Andhra Pradesh,167545
3,Arunachal Pradesh,178
4,Assam,3582
5,Bihar,14955
6,Chhattisgarh,33325
7,Goa,40
8,Gujarat,11940
9,Haryana,971
10,Himachal Pradesh,14852
11,Jammu And Kashmir,12224
12,Jharkhand,45601
13,Karnataka,56722
14,Kerala,62032
15,Lakshadweep,39
16,Madhya Pradesh,52189
17,Maharashtra,77607
18,Manipur,1835
19,Meghalaya,2932
20,Mizoram,497
21,Nagaland,880
22,Odisha,21751
23,Puducherry,26
24,Punjab,343
25,Rajasthan,40097
26,Sikkim,517
27,Tamil Nadu,14440
28,Telangana,196450
29,Tripura,12930
30,Uttar Pradesh,88122
31,Uttarakhand,5574
32,West Bengal,103268
Total,Total,1043601
