S. No.,state_ut,Total No of Habitations,No of Fully Covered Habitations,No of Partially Covered Habitations,No of Quality Affected Habitations
1,Andaman and Nicobar,400,324,76,0
2,Andhra Pradesh,48363,34604,13392,367
3,Arunachal Pradesh,7525,3210,4287,28
4,Assam,88047,54962,23251,9834
5,Bihar,110218,70632,35670,3916
6,Chattisgarh,74619,72966,1140,513
7,Goa,347,345,2,0
8,Gujarat,35996,35996,0,0
9,Haryana,7517,7298,116,103
10,Himachal Pradesh,53269,43094,10175,0
11,Jammu And Kashmir,15778,9292,6474,12
12,Jharkhand,119832,119022,270,540
13,Karnataka,59774,23651,35351,772
14,Kerala,21520,6052,15141,327
15,Madhya Pradesh,127448,127298,0,150
16,Maharashtra,99533,89427,9912,194
17,Manipur,2962,2133,829,0
18,Meghalaya,9980,3983,5990,7
19,Mizoram,718,487,231,0
20,Nagaland,1450,735,711,4
21,Odisha,157013,154386,133,2494
22,Puducherry,266,153,113,0
23,Punjab,15038,10534,1358,3146
24,Rajasthan,121526,59229,43819,18478
25,Sikkim,2076,830,1246,0
26,Tamil Nadu,100014,96037,3976,1
27,Telangana,24359,15144,8865,350
28,Tripura,8723,4935,1361,2427
29,Uttar Pradesh,260018,256468,2176,1374
30,Uttarakhand,39311,22781,16515,15
31,West Bengal,105669,56608,32550,16511
Total,Total,1719309,1382616,275130,61563
Percentage,Percentage,100,80.42,16,3.58
